,,,,, Esperado ,,,"49,234",,,,,,359,,,,,,,,
,TEC21,1,,, Identificado ,"48,825",,"48,005","49,637",52,"1,382","1,663","1,618","49,184",,,,,,,,
,TERM,202511,,,,,,,,,,,,0.70%,,,Programa,Campus,sem avance,,,
,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,HistÛrico,HistÛrico,HistÛrico,C·lculo,C·lculo,C·lculo,C·lculo,C·lculo,,,NEG,Monterrey,4,ad23,8,
CAMPUS_INSCRIPCION,CAMPUS_INSCRIPCION,ENTRADA_TERM,PROGRAMATERM, SEMESTRE_AVANCE_GENERACION ,GENERACION, Sum of TOTAL_AGRUPACION , TERM 202313 por sem avance , TERM 202411 por sem avance , TERM 202413 , Programa en InglÈs sin BGB , Var AA , VAR ACTUAL , Ajuste , MT Ajustada ,,,NEG,Monterrey,5,fj24,3,-63%
Monterrey,Monterrey, NEG ,LAE,12,201813,1,7,0,0,0,-100%,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LAE,12,201911,2,7,0,0,0,-100%,,,2, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LAE,12,201913,7,7,4,14,0,-43%,-50%,-50%,7, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,3,202411,1, -   ,0,0,0,,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,4,202313,174,29,199,160,0,586%,8%,8%,174, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,5,202311,7,1,1,5,0,0%,40%,40%,7, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,6,202213,189,177,182,202,0,3%,-6%,3%,208,-19,,,,,,,
Monterrey,Monterrey, NEG ,BGB,7,202211,5,7,7,3,0,0%,82%,0%,3,2,,,,,,,
Monterrey,Monterrey, NEG ,BGB,8,202113,189,171,170,186,0,-1%,2%,-1%,185,4,,,,,,,
Monterrey,Monterrey, NEG ,BGB,9,202111,10,8,7,8,0,-13%,29%,29%,10, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,10,202013,29,44,19,49,0,-57%,-40%,-40%,29, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,11,202011,0,2,1,0,0,-50%,,,0, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,12,201611,1,4,0,0,0,-100%,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,12,201813,1,4,0,0,0,-100%,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,BGB,12,201913,7,4,3,9,0,-25%,-26%,-26%,7, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,3,202411,3, -   ,0,0,0,,,,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,4,202313,159,18,142,8,0,689%,1888%,1888%,159, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,5,202311,8,4,5,3,0,25%,181%,181%,8, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,6,202213,183,189,192,143,0,2%,28%,2%,145,38,,,,,,,
Monterrey,Monterrey, NEG ,LEM,7,202211,6,6,5,5,0,-17%,21%,-17%,4,2,,,,,,,
Monterrey,Monterrey, NEG ,LEM,8,202113,186,179,181,189,0,1%,-2%,1%,191,-5,,,,,,,
Monterrey,Monterrey, NEG ,LEM,9,202111,12,9,8,6,0,-11%,96%,96%,12, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,10,202013,18,35,15,38,0,-57%,-52%,-52%,18, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,11,202011,3, -   ,0,3,0,,-5%,-5%,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,12,201713,1,6,0,0,0,-100%,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,12,201811,1,6,0,0,0,-100%,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LEM,12,201913,4,6,3,7,0,-50%,-36%,-36%,4, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,3,202411,2, -   ,1,0,0,,,,2, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,4,202313,109,12,119,5,0,892%,2074%,2074%,109, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,5,202311,3,5,8,4,0,60%,-24%,-24%,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,6,202213,119,121,123,125,0,2%,-5%,2%,127,-8,,,,,,,
Monterrey,Monterrey, NEG ,CPF,7,202211,3,9,9,8,0,0%,-64%,0%,8,-5,,,,,,,
