PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,TEC21_PIN,TOTAL_INICIAL,SEMESTRE_AVANCE_GENERACION,CAMPUS_INDICADOR,CAMPUS_INSCRIPCION,PROGRAMATERM,TRANSFERENCIA,TRANSFERENCIA_TEMPORAL,ES_CLINICA,TOTAL_AGRUPACION,GENERACION,TERM,PERFIL
ESC,Ciudad de México,1,3.0,4,Ciudad de México,Ciudad de México,ESC,false,false,false,3.0,202211,202313,TEC B
IIT,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,IIT,false,false,false,1.0,202211,202313,TEC A+
IBQ,Estado de México,1,2.0,4,Estado de México,Estado de México,IBQ,false,false,false,2.0,202211,202313,TEC A
ESC,Monterrey,1,1.0,4,Monterrey,Monterrey,ESC,false,false,false,1.0,202211,202313,NA
NEG,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,NEG,false,false,false,1.0,202211,202313,NO TEC B
NEG,Santa Fe,1,3.0,4,Santa Fe,Santa Fe,NEG,false,false,false,3.0,202211,202313,TEC A
NEG,Estado de México,1,2.0,4,Estado de México,Estado de México,NEG,false,false,false,2.0,202211,202313,TEC A+
NEG,Estado de México,1,6.0,4,Estado de México,Estado de México,NEG,false,false,false,6.0,202211,202313,NO TEC A
NEG,Ciudad de México,1,7.0,4,Ciudad de México,Ciudad de México,NEG,false,false,false,7.0,202211,202313,NO TEC D
ESC,Monterrey,1,5.0,4,Monterrey,Monterrey,ESC,false,false,false,5.0,202211,202313,NO TEC A
IIT,Estado de México,1,1.0,4,Estado de México,Estado de México,IIT,false,false,false,1.0,202211,202313,NO TEC B
ICT,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,ICT,false,false,false,1.0,202211,202313,TEC A+
ICI,Monterrey,1,2.0,4,Monterrey,Monterrey,ICI,false,false,false,2.0,202211,202313,NO TEC A+
CIS,Monterrey,1,1.0,4,Monterrey,Monterrey,CIS,false,false,false,1.0,202211,202313,TEC A+
NEG,Querétaro,1,1.0,4,Querétaro,Querétaro,NEG,false,false,false,1.0,202211,202313,NO TEC A+
IIT,Guadalajara,1,2.0,4,Guadalajara,Guadalajara,IIT,false,false,false,2.0,202211,202313,NO TEC A+
IIT,Querétaro,1,1.0,4,Querétaro,Querétaro,IIT,false,false,false,1.0,202211,202313,TEC A
ESC,Monterrey,1,2.0,4,Monterrey,Monterrey,ESC,false,false,false,2.0,202211,202313,TEC A
ESC,Monterrey,1,3.0,4,Monterrey,Monterrey,ESC,false,false,false,3.0,202211,202313,TEC B
ICI,Estado de México,1,1.0,4,Estado de México,Estado de México,ICI,false,false,false,1.0,202211,202313,NO TEC A
CIS,Santa Fe,1,5.0,4,Santa Fe,Santa Fe,CIS,false,false,false,5.0,202211,202313,NO TEC A
NEG,Querétaro,1,3.0,4,Querétaro,Querétaro,NEG,false,false,false,3.0,202211,202313,TEC B
ESC,Estado de México,1,2.0,4,Estado de México,Estado de México,ESC,false,false,false,2.0,202211,202313,NO TEC A
ICT,Puebla,1,2.0,4,Puebla,Puebla,ICT,false,false,false,2.0,202211,202313,NO TEC A
ICI,Puebla,1,1.0,4,Puebla,Puebla,ICI,false,false,false,1.0,202211,202313,NO TEC A
IBQ,Estado de México,1,3.0,4,Estado de México,Estado de México,IBQ,false,false,false,3.0,202211,202313,NO TEC A
IIT,Querétaro,1,1.0,4,Querétaro,Querétaro,IIT,false,false,false,1.0,202211,202313,NO TEC A
ESC,Puebla,1,1.0,4,Puebla,Puebla,ESC,false,false,false,1.0,202211,202313,TEC A+
ESC,Monterrey,1,1.0,4,Monterrey,Monterrey,ESC,false,false,false,1.0,202211,202313,NO TEC B
ICT,Estado de México,1,1.0,4,Estado de México,Estado de México,ICT,false,false,false,1.0,202211,202313,NO TEC B
ICT,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ICT,false,false,false,1.0,202211,202313,TEC A
NEG,Guadalajara,1,3.0,4,Guadalajara,Guadalajara,NEG,false,false,false,3.0,202211,202313,NO TEC A+
IIT,Saltillo,1,1.0,4,Saltillo,Saltillo,IIT,false,false,false,1.0,202211,202313,NO TEC A+
NEG,Ciudad de México,1,3.0,4,Ciudad de México,Ciudad de México,NEG,false,false,false,3.0,202211,202313,TEC A+
ICI,Estado de México,1,1.0,4,Estado de México,Estado de México,ICI,false,false,false,1.0,202211,202313,NO TEC A+
IIT,Monterrey,1,3.0,4,Monterrey,Monterrey,IIT,false,false,false,3.0,202211,202313,NO TEC B
ICI,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ICI,false,false,false,1.0,202211,202313,TEC A
IBQ,Puebla,1,1.0,4,Puebla,Puebla,IBQ,false,false,false,1.0,202211,202313,NO TEC A
CIS,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,CIS,false,false,false,1.0,202211,202313,TEC A+
ICT,Monterrey,1,1.0,4,Monterrey,Monterrey,ICT,false,false,false,1.0,202211,202313,TEC B
IIT,Santa Fe,1,2.0,4,Santa Fe,Santa Fe,IIT,false,false,false,2.0,202211,202313,TEC A
AMC,Monterrey,1,2.0,4,Monterrey,Monterrey,AMC,false,false,false,2.0,202211,202313,NO TEC A+
ESC,Monterrey,1,5.0,4,Monterrey,Monterrey,ESC,false,false,false,5.0,202211,202313,NO TEC A+
NEG,Guadalajara,1,7.0,4,Guadalajara,Guadalajara,NEG,false,false,false,7.0,202211,202313,TEC A
IIT,Ciudad de México,1,2.0,4,Ciudad de México,Ciudad de México,IIT,false,false,false,2.0,202211,202313,TEC C
IIT,Puebla,1,4.0,4,Puebla,Puebla,IIT,false,false,false,4.0,202211,202313,NO TEC A+
CIS,Puebla,1,3.0,4,Puebla,Puebla,CIS,false,false,false,3.0,202211,202313,NO TEC A+
NEG,Monterrey,1,6.0,4,Monterrey,Monterrey,NEG,false,false,false,6.0,202211,202313,NO TEC A+
AMC,Estado de México,1,1.0,4,Estado de México,Estado de México,AMC,false,false,false,1.0,202211,202313,NO TEC A
IIT,Monterrey,1,4.0,4,Monterrey,Monterrey,IIT,false,false,false,4.0,202211,202313,TEC A
ICT,Santa Fe,1,3.0,4,Santa Fe,Santa Fe,ICT,false,false,false,3.0,202211,202313,NO TEC A
ESC,Ciudad de México,1,3.0,4,Ciudad de México,Ciudad de México,ESC,false,false,false,3.0,202211,202313,NO TEC D
ESC,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ESC,false,false,false,1.0,202211,202313,TEC B
ICT,Monterrey,1,6.0,4,Monterrey,Monterrey,ICT,false,false,false,6.0,202211,202313,NO TEC A
ICT,Querétaro,1,1.0,4,Querétaro,Querétaro,ICT,false,false,false,1.0,202211,202313,NO TEC A
ESC,Puebla,1,1.0,4,Puebla,Puebla,ESC,false,false,false,1.0,202211,202313,NO TEC B
NEG,Querétaro,1,3.0,4,Querétaro,Querétaro,NEG,false,false,false,3.0,202211,202313,NO TEC A
AMC,Monterrey,1,1.0,4,Monterrey,Monterrey,AMC,false,false,false,1.0,202211,202313,TEC A+
IIT,Santa Fe,1,5.0,4,Santa Fe,Santa Fe,IIT,false,false,false,5.0,202211,202313,NO TEC A
IIT,Puebla,1,1.0,4,Puebla,Puebla,IIT,false,false,false,1.0,202211,202313,NO TEC A
ESC,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ESC,false,false,false,1.0,202211,202313,TEC A
AMC,Puebla,1,1.0,4,Puebla,Puebla,AMC,false,false,false,1.0,202211,202313,NO TEC A+
NEG,Puebla,1,5.0,4,Puebla,Puebla,NEG,false,false,false,5.0,202211,202313,NO TEC A+
ESC,Querétaro,1,1.0,4,Querétaro,Querétaro,ESC,false,false,false,1.0,202211,202313,NO TEC A+
IIT,Estado de México,1,2.0,4,Estado de México,Estado de México,IIT,false,false,false,2.0,202211,202313,NO TEC A
NEG,Guadalajara,1,2.0,4,Guadalajara,Guadalajara,NEG,false,false,false,2.0,202211,202313,NO TEC A
ICI,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ICI,false,false,false,1.0,202211,202313,NO TEC A+
IBQ,Puebla,1,1.0,4,Puebla,Puebla,IBQ,false,false,false,1.0,202211,202313,NO TEC A+
ESC,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ESC,false,false,false,1.0,202211,202313,NO TEC A
ICI,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,ICI,false,false,false,1.0,202211,202313,TEC A
AMC,Monterrey,1,1.0,4,Monterrey,Monterrey,AMC,false,false,false,1.0,202211,202313,TEC A
ICT,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ICT,false,false,false,1.0,202211,202313,NO TEC A+
CIS,Santa Fe,1,2.0,4,Santa Fe,Santa Fe,CIS,false,false,false,2.0,202211,202313,TEC B
ICT,Guadalajara,1,2.0,4,Guadalajara,Guadalajara,ICT,false,false,false,2.0,202211,202313,NO TEC A
IBQ,Monterrey,1,1.0,4,Monterrey,Monterrey,IBQ,false,false,false,1.0,202211,202313,NO TEC A+
IBQ,Puebla,1,1.0,4,Puebla,Puebla,IBQ,false,false,false,1.0,202211,202313,TEC A+
NEG,Puebla,1,4.0,4,Puebla,Puebla,NEG,false,false,false,4.0,202211,202313,TEC A
NEG,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,NEG,false,false,false,1.0,202211,202313,TEC C
CIS,Estado de México,1,1.0,4,Estado de México,Estado de México,CIS,false,false,false,1.0,202211,202313,TEC A
IIT,Monterrey,1,11.0,4,Monterrey,Monterrey,IIT,false,false,false,11.0,202211,202313,NO TEC A+
IIT,Puebla,1,2.0,4,Puebla,Puebla,IIT,false,false,false,2.0,202211,202313,TEC A
NEG,Santa Fe,1,2.0,4,Santa Fe,Santa Fe,NEG,false,false,false,2.0,202211,202313,TEC B
IIT,Estado de México,1,4.0,4,Estado de México,Estado de México,IIT,false,false,false,4.0,202211,202313,NO TEC A+
ESC,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,ESC,false,false,false,1.0,202211,202313,NO TEC B
IIT,Monterrey,1,1.0,4,Monterrey,Monterrey,IIT,false,false,false,1.0,202211,202313,TEC C
IIT,Monterrey,1,7.0,4,Monterrey,Monterrey,IIT,false,false,false,7.0,202211,202313,NO TEC A
IIT,Ciudad de México,1,2.0,4,Ciudad de México,Ciudad de México,IIT,false,false,false,2.0,202211,202313,TEC A
ICT,Monterrey,1,1.0,4,Monterrey,Monterrey,ICT,false,false,false,1.0,202211,202313,TEC A+
ESC,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ESC,false,false,false,1.0,202211,202313,NO TEC B
IIT,Ciudad de México,1,9.0,4,Ciudad de México,Ciudad de México,IIT,false,false,false,9.0,202211,202313,NO TEC D
CIS,Monterrey,1,4.0,4,Monterrey,Monterrey,CIS,false,false,false,4.0,202211,202313,NO TEC A
AMC,Monterrey,1,2.0,4,Monterrey,Monterrey,AMC,false,false,false,2.0,202211,202313,NO TEC A
ESC,Puebla,1,3.0,4,Puebla,Puebla,ESC,false,false,false,3.0,202211,202313,TEC A
ESC,Ciudad de México,1,4.0,4,Ciudad de México,Ciudad de México,ESC,false,false,false,4.0,202211,202313,TEC A
CIS,Puebla,1,2.0,4,Puebla,Puebla,CIS,false,false,false,2.0,202211,202313,TEC A
ICI,Ciudad de México,1,2.0,4,Ciudad de México,Ciudad de México,ICI,false,false,false,2.0,202211,202313,NO TEC D
NEG,Monterrey,1,3.0,4,Monterrey,Monterrey,NEG,false,false,false,3.0,202211,202313,TEC B
IIT,Querétaro,1,1.0,4,Querétaro,Querétaro,IIT,false,false,false,1.0,202211,202313,TEC C
NEG,Santa Fe,1,13.0,4,Santa Fe,Santa Fe,NEG,false,false,false,13.0,202211,202313,NO TEC A
AMC,Estado de México,1,1.0,4,Estado de México,Estado de México,AMC,false,false,false,1.0,202211,202313,TEC B
IBQ,Santa Fe,1,2.0,4,Santa Fe,Santa Fe,IBQ,false,false,false,2.0,202211,202313,TEC A+
NEG,Estado de México,1,1.0,4,Estado de México,Estado de México,NEG,false,false,false,1.0,202211,202313,TEC A
CIS,Monterrey,1,3.0,4,Monterrey,Monterrey,CIS,false,false,false,3.0,202211,202313,TEC C
ESC,Monterrey,1,1.0,4,Monterrey,Monterrey,ESC,false,false,false,1.0,202211,202313,TEC C
NEG,Monterrey,1,1.0,4,Monterrey,Monterrey,NEG,false,false,false,1.0,202211,202313,NO TEC B
IIT,Monterrey,1,2.0,4,Monterrey,Monterrey,IIT,false,false,false,2.0,202211,202313,TEC B
ICT,Estado de México,1,1.0,4,Estado de México,Estado de México,ICT,false,false,false,1.0,202211,202313,NO TEC A
ESC,Hidalgo,1,1.0,4,Hidalgo,Hidalgo,ESC,false,false,false,1.0,202211,202313,NO TEC B
IBQ,Monterrey,1,1.0,4,Monterrey,Monterrey,IBQ,false,false,false,1.0,202211,202313,TEC A+
ESC,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,ESC,false,false,false,1.0,202211,202313,TEC B
NEG,Monterrey,1,7.0,4,Monterrey,Monterrey,NEG,false,false,false,7.0,202211,202313,NO TEC A
ICT,Puebla,1,1.0,4,Puebla,Puebla,ICT,false,false,false,1.0,202211,202313,NO TEC A+
ICT,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,ICT,false,false,false,1.0,202211,202313,NO TEC B
IIT,Santa Fe,1,5.0,4,Santa Fe,Santa Fe,IIT,false,false,false,5.0,202211,202313,NO TEC A+
CIS,Monterrey,1,9.0,4,Monterrey,Monterrey,CIS,false,false,false,9.0,202211,202313,NO TEC A+
ESC,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,ESC,false,false,false,1.0,202211,202313,TEC A
ESC,Puebla,1,1.0,4,Puebla,Puebla,ESC,false,false,false,1.0,202211,202313,TEC B
CIS,Monterrey,1,1.0,4,Monterrey,Monterrey,CIS,false,false,false,1.0,202211,202313,TEC A
ESC,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,ESC,false,false,false,1.0,202211,202313,NO TEC A+
IBQ,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,IBQ,false,false,false,1.0,202211,202313,NO TEC A+
ICT,Ciudad de México,1,4.0,4,Ciudad de México,Ciudad de México,ICT,false,false,false,4.0,202211,202313,NO TEC D
NEG,Monterrey,1,1.0,4,Monterrey,Monterrey,NEG,false,false,false,1.0,202211,202313,TEC A+
NEG,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,NEG,false,false,false,1.0,202211,202313,NO TEC B
CIS,Monterrey,1,1.0,4,Monterrey,Monterrey,CIS,false,false,false,1.0,202211,202313,NA
NEG,Querétaro,1,1.0,4,Querétaro,Querétaro,NEG,false,false,false,1.0,202211,202313,TEC A+
NEG,Estado de México,1,1.0,4,Estado de México,Estado de México,NEG,false,false,false,1.0,202211,202313,TEC B
NEG,Estado de México,1,3.0,4,Estado de México,Estado de México,NEG,false,false,false,3.0,202211,202313,NO TEC A+
IBQ,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,IBQ,false,false,false,1.0,202211,202313,NO TEC A
ICT,Santa Fe,1,1.0,4,Santa Fe,Santa Fe,ICT,false,false,false,1.0,202211,202313,TEC B
ESC,Puebla,1,3.0,4,Puebla,Puebla,ESC,false,false,false,3.0,202211,202313,NO TEC A
NEG,Querétaro,1,1.0,4,Querétaro,Querétaro,NEG,false,false,false,1.0,202211,202313,TEC A
IBQ,Ciudad de México,1,2.0,4,Ciudad de México,Ciudad de México,IBQ,false,false,false,2.0,202211,202313,NO TEC D
IIT,Guadalajara,1,3.0,4,Guadalajara,Guadalajara,IIT,false,false,false,3.0,202211,202313,NO TEC A
ICT,Monterrey,1,2.0,4,Monterrey,Monterrey,ICT,false,false,false,2.0,202211,202313,NO TEC A+
IBQ,Monterrey,1,1.0,4,Monterrey,Monterrey,IBQ,false,false,false,1.0,202211,202313,TEC A
NEG,Puebla,1,5.0,4,Puebla,Puebla,NEG,false,false,false,5.0,202211,202313,NO TEC A
NEG,Monterrey,1,1.0,4,Monterrey,Monterrey,NEG,false,false,false,1.0,202211,202313,TEC C
NEG,Ciudad de México,1,2.0,4,Ciudad de México,Ciudad de México,NEG,false,false,false,2.0,202211,202313,TEC A
IBQ,Monterrey,1,1.0,4,Monterrey,Monterrey,IBQ,false,false,false,1.0,202211,202313,NA
NEG,Santa Fe,1,3.0,4,Santa Fe,Santa Fe,NEG,false,false,false,3.0,202211,202313,NO TEC A+
AMC,Estado de México,1,1.0,4,Estado de México,Estado de México,AMC,false,false,false,1.0,202211,202313,NO TEC A+
ICI,Estado de México,1,1.0,4,Estado de México,Estado de México,ICI,false,false,false,1.0,202211,202313,TEC B
ICI,Guadalajara,1,2.0,4,Guadalajara,Guadalajara,ICI,false,false,false,2.0,202211,202313,NO TEC A
NEG,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,NEG,false,false,false,1.0,202211,202313,TEC B
ESC,Puebla,1,1.0,4,Puebla,Puebla,ESC,false,false,false,1.0,202211,202313,NO TEC A+
IBQ,Querétaro,1,1.0,4,Querétaro,Querétaro,IBQ,false,false,false,1.0,202211,202313,NO TEC A
CIS,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,CIS,false,false,false,1.0,202211,202313,NO TEC D
NEG,Monterrey,1,4.0,4,Monterrey,Monterrey,NEG,false,false,false,4.0,202211,202313,TEC A
CIS,Ciudad de México,1,2.0,4,Ciudad de México,Ciudad de México,CIS,false,false,false,2.0,202211,202313,TEC B
CIS,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,CIS,false,false,false,1.0,202211,202313,NO TEC A
ICT,Monterrey,1,1.0,4,Monterrey,Monterrey,ICT,false,false,false,1.0,202211,202313,TEC A
ICT,Querétaro,1,1.0,4,Querétaro,Querétaro,ICT,false,false,false,1.0,202211,202313,TEC C
ESC,Estado de México,1,3.0,4,Estado de México,Estado de México,ESC,false,false,false,3.0,202211,202313,NO TEC A+
IIT,Monterrey,1,1.0,4,Monterrey,Monterrey,IIT,false,false,false,1.0,202211,202313,NA
NEG,Cuernavaca,1,1.0,4,Cuernavaca,Cuernavaca,NEG,false,false,false,1.0,202211,202313,TEC A+
ICI,Estado de México,1,73.0,1,Estado de México,Estado de México,ICI,false,false,false,73.0,202313,202313,NA
CIS,Estado de México,1,1.0,1,Estado de México,Estado de México,CIS,false,false,false,1.0,202313,202313,NO TEC A+
ESC,Monterrey,1,263.0,1,Monterrey,Monterrey,ESC,false,false,false,263.0,202313,202313,NA
AMC,Ciudad de México,1,69.0,1,Ciudad de México,Ciudad de México,AMC,false,false,false,69.0,202313,202313,NA
ESC,Laguna,1,25.0,1,Laguna,Laguna,ESC,false,false,false,25.0,202313,202313,NA
CIS,Querétaro,1,50.0,1,Querétaro,Querétaro,CIS,false,false,false,50.0,202313,202313,NA
NEG,Saltillo,1,59.0,1,Saltillo,Saltillo,NEG,false,false,false,59.0,202313,202313,NA
NEG,Santa Fe,1,3.0,1,Santa Fe,Santa Fe,NEG,false,false,false,3.0,202313,202313,TEC A
ICI,Ciudad Obregón,1,2.0,1,Ciudad Obregón,Ciudad Obregón,ICI,false,false,false,2.0,202313,202313,NA
SLD,Guadalajara,1,138.0,1,Guadalajara,Guadalajara,SLD,false,false,false,138.0,202313,202313,NA
SLD,Monterrey,1,250.0,1,Monterrey,Monterrey,SLD,false,false,false,250.0,202313,202313,NA
CIS,Aguascalientes,1,4.0,1,Aguascalientes,Aguascalientes,CIS,false,false,false,4.0,202313,202313,NA
IIT,Chihuahua,1,56.0,1,Chihuahua,Chihuahua,IIT,false,false,false,56.0,202313,202313,NA
NEG,Sonora Norte,1,105.0,1,Sonora Norte,Sonora Norte,NEG,false,false,false,105.0,202313,202313,NA
AMC,Santa Fe,1,34.0,1,Santa Fe,Santa Fe,AMC,false,false,false,34.0,202313,202313,NA
IBQ,Hidalgo,1,20.0,1,Hidalgo,Hidalgo,IBQ,false,false,false,20.0,202313,202313,NA
ICT,Hidalgo,1,13.0,1,Hidalgo,Hidalgo,ICT,false,false,false,13.0,202313,202313,NA
IBQ,Ciudad de México,1,110.0,1,Ciudad de México,Ciudad de México,IBQ,false,false,false,110.0,202313,202313,NA
ICT,Sinaloa,1,21.0,1,Sinaloa,Sinaloa,ICT,false,false,false,21.0,202313,202313,NA
ICI,León,1,11.0,1,León,León,ICI,false,false,false,11.0,202313,202313,NA
SLD,Guadalajara,1,1.0,1,Guadalajara,Guadalajara,SLD,false,false,false,1.0,202313,202313,TEC A+
IIT,Toluca,1,136.0,1,Toluca,Toluca,IIT,false,false,false,136.0,202313,202313,NA
ICI,Morelia,1,5.0,1,Morelia,Morelia,ICI,false,false,false,5.0,202313,202313,NA
AMC,Querétaro,1,1.0,1,Querétaro,Querétaro,AMC,false,false,false,1.0,202313,202313,NO TEC A+
CIS,Toluca,1,19.0,1,Toluca,Toluca,CIS,false,false,false,19.0,202313,202313,NA
ICI,San Luis Potosí,1,9.0,1,San Luis Potosí,San Luis Potosí,ICI,false,false,false,9.0,202313,202313,NA
IBQ,Chihuahua,1,25.0,1,Chihuahua,Chihuahua,IBQ,false,false,false,25.0,202313,202313,NA
NEG,Ciudad Juárez,1,35.0,1,Ciudad Juárez,Ciudad Juárez,NEG,false,false,false,35.0,202313,202313,NA
ESC,Aguascalientes,1,23.0,1,Aguascalientes,Aguascalientes,ESC,false,false,false,23.0,202313,202313,NA
CIS,Estado de México,1,76.0,1,Estado de México,Estado de México,CIS,false,false,false,76.0,202313,202313,NA
ESC,Cuernavaca,1,29.0,1,Cuernavaca,Cuernavaca,ESC,false,false,false,29.0,202313,202313,NA
CIS,Chihuahua,1,29.0,1,Chihuahua,Chihuahua,CIS,false,false,false,29.0,202313,202313,NA
ESC,San Luis Potosí,1,28.0,1,San Luis Potosí,San Luis Potosí,ESC,false,false,false,28.0,202313,202313,NA
CIS,Sonora Norte,1,14.0,1,Sonora Norte,Sonora Norte,CIS,false,false,false,14.0,202313,202313,NA
NEG,Cuernavaca,1,47.0,1,Cuernavaca,Cuernavaca,NEG,false,false,false,47.0,202313,202313,NA
ICI,Cuernavaca,1,4.0,1,Cuernavaca,Cuernavaca,ICI,false,false,false,4.0,202313,202313,NA
IIT,San Luis Potosí,1,52.0,1,San Luis Potosí,San Luis Potosí,IIT,false,false,false,52.0,202313,202313,NA
ICT,Guadalajara,1,125.0,1,Guadalajara,Guadalajara,ICT,false,false,false,125.0,202313,202313,NA
NEG,Guadalajara,1,325.0,1,Guadalajara,Guadalajara,NEG,false,false,false,325.0,202313,202313,NA
AMC,Puebla,1,39.0,1,Puebla,Puebla,AMC,false,false,false,39.0,202313,202313,NA
ESC,Santa Fe,1,68.0,1,Santa Fe,Santa Fe,ESC,false,false,false,68.0,202313,202313,NA
NEG,Hidalgo,1,87.0,1,Hidalgo,Hidalgo,NEG,false,false,false,87.0,202313,202313,NA
AMC,Estado de México,1,58.0,1,Estado de México,Estado de México,AMC,false,false,false,58.0,202313,202313,NA
CIS,León,1,5.0,1,León,León,CIS,false,false,false,5.0,202313,202313,NA
IBQ,Sonora Norte,1,12.0,1,Sonora Norte,Sonora Norte,IBQ,false,false,false,12.0,202313,202313,NA
ICI,Santa Fe,1,17.0,1,Santa Fe,Santa Fe,ICI,false,false,false,17.0,202313,202313,NA
ICT,Aguascalientes,1,10.0,1,Aguascalientes,Aguascalientes,ICT,false,false,false,10.0,202313,202313,NA
ICI,Querétaro,1,26.0,1,Querétaro,Querétaro,ICI,false,false,false,26.0,202313,202313,NA
ICT,Sonora Norte,1,35.0,1,Sonora Norte,Sonora Norte,ICT,false,false,false,35.0,202313,202313,NA
IIT,Estado de México,1,186.0,1,Estado de México,Estado de México,IIT,false,false,false,186.0,202313,202313,NA
CIS,Guadalajara,1,64.0,1,Guadalajara,Guadalajara,CIS,false,false,false,64.0,202313,202313,NA
NEG,Estado de México,1,269.0,1,Estado de México,Estado de México,NEG,false,false,false,269.0,202313,202313,NA
CIS,Puebla,1,53.0,1,Puebla,Puebla,CIS,false,false,false,53.0,202313,202313,NA
NEG,Monterrey,1,842.0,1,Monterrey,Monterrey,NEG,false,false,false,842.0,202313,202313,NA
NEG,Chihuahua,1,89.0,1,Chihuahua,Chihuahua,NEG,false,false,false,89.0,202313,202313,NA
ICI,Guadalajara,1,35.0,1,Guadalajara,Guadalajara,ICI,false,false,false,35.0,202313,202313,NA
IBQ,Ciudad Obregón,1,6.0,1,Ciudad Obregón,Ciudad Obregón,IBQ,false,false,false,6.0,202313,202313,NA
NEG,Ciudad Obregón,1,19.0,1,Ciudad Obregón,Ciudad Obregón,NEG,false,false,false,19.0,202313,202313,NA
IIT,Cuernavaca,1,43.0,1,Cuernavaca,Cuernavaca,IIT,false,false,false,43.0,202313,202313,NA
ICI,Tampico,1,4.0,1,Tampico,Tampico,ICI,false,false,false,4.0,202313,202313,NA
CIS,Ciudad de México,1,106.0,1,Ciudad de México,Ciudad de México,CIS,false,false,false,106.0,202313,202313,NA
IIT,Laguna,1,73.0,1,Laguna,Laguna,IIT,false,false,false,73.0,202313,202313,NA
ESC,Querétaro,1,124.0,1,Querétaro,Querétaro,ESC,false,false,false,124.0,202313,202313,NA
SLD,Monterrey,1,1.0,1,Monterrey,Monterrey,SLD,false,false,false,1.0,202313,202313,TEC A
ICT,Querétaro,1,91.0,1,Querétaro,Querétaro,ICT,false,false,false,91.0,202313,202313,NA
NEG,Monterrey,1,1.0,1,Monterrey,Monterrey,NEG,false,false,false,1.0,202313,202313,NO TEC A+
ICI,Toluca,1,9.0,1,Toluca,Toluca,ICI,false,false,false,9.0,202313,202313,NA
ESC,Hidalgo,1,38.0,1,Hidalgo,Hidalgo,ESC,false,false,false,38.0,202313,202313,NA
ICT,Chihuahua,1,31.0,1,Chihuahua,Chihuahua,ICT,false,false,false,31.0,202313,202313,NA
NEG,Sinaloa,1,108.0,1,Sinaloa,Sinaloa,NEG,false,false,false,108.0,202313,202313,NA
ICT,Laguna,1,13.0,1,Laguna,Laguna,ICT,false,false,false,13.0,202313,202313,NA
SLD,Monterrey,1,1.0,1,Monterrey,Monterrey,SLD,false,false,false,1.0,202313,202313,TEC A+
IIT,Ciudad de México,1,224.0,1,Ciudad de México,Ciudad de México,IIT,false,false,false,224.0,202313,202313,NA
IIT,Saltillo,1,70.0,1,Saltillo,Saltillo,IIT,false,false,false,70.0,202313,202313,NA
NEG,Puebla,1,176.0,1,Puebla,Puebla,NEG,false,false,false,176.0,202313,202313,NA
IBQ,Sinaloa,1,8.0,1,Sinaloa,Sinaloa,IBQ,false,false,false,8.0,202313,202313,NA
IIT,Santa Fe,1,213.0,1,Santa Fe,Santa Fe,IIT,false,false,false,213.0,202313,202313,NA
ICI,Puebla,1,14.0,1,Puebla,Puebla,ICI,false,false,false,14.0,202313,202313,NA
IBQ,Morelia,1,6.0,1,Morelia,Morelia,IBQ,false,false,false,6.0,202313,202313,NA
IBQ,Saltillo,1,6.0,1,Saltillo,Saltillo,IBQ,false,false,false,6.0,202313,202313,NA
ICT,Estado de México,1,88.0,1,Estado de México,Estado de México,ICT,false,false,false,88.0,202313,202313,NA
ICT,Puebla,1,72.0,1,Puebla,Puebla,ICT,false,false,false,72.0,202313,202313,NA
ESC,Sinaloa,1,32.0,1,Sinaloa,Sinaloa,ESC,false,false,false,32.0,202313,202313,NA
ESC,Morelia,1,15.0,1,Morelia,Morelia,ESC,false,false,false,15.0,202313,202313,NA
NEG,Tampico,1,44.0,1,Tampico,Tampico,NEG,false,false,false,44.0,202313,202313,NA
IIT,Sinaloa,1,64.0,1,Sinaloa,Sinaloa,IIT,false,false,false,64.0,202313,202313,NA
SLD,Ciudad de México,1,179.0,1,Ciudad de México,Ciudad de México,SLD,false,false,false,179.0,202313,202313,NA
ESC,Toluca,1,88.0,1,Toluca,Toluca,ESC,false,false,false,88.0,202313,202313,NA
