PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,TEC21_PIN,TOTAL_INICIAL,SEMESTRE_AVANCE_GENERACION,CAMPUS_INDICADOR,CAMPUS_INSCRIPCION,PROGRAMATERM,TRANSFERENCIA,TRANSFERENCIA_TEMPORAL,ES_CLINICA,TOTAL_AGRUPACION,GENERACION,TERM,PERFIL
IIT,Estado de México,1,0.2727272727272727,1,Estado de México,Estado de México,IIT,false,false,false,0.2727272727272727,202911,202911,TEC A+
IIT,Guadalajara,1,0.18181818181818182,1,Guadalajara,Guadalajara,IIT,false,false,false,0.18181818181818182,202911,202911,NO TEC A+
ICI,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,ICI,false,false,false,0.0,202911,202911,TEC A
IIT,Querétaro,1,0.18181818181818182,1,Querétaro,Querétaro,IIT,false,false,false,0.18181818181818182,202911,202911,TEC A
ICI,Chihuahua,1,0.0,1,Chihuahua,Chihuahua,ICI,false,false,false,0.0,202911,202911,NO TEC C
ICI,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,ICI,false,false,false,0.0,202911,202911,NO TEC C
ICI,Tampico,1,0.0,1,Tampico,Tampico,ICI,false,false,false,0.0,202911,202911,NO TEC C
ICI,Laguna,1,0.0,1,Laguna,Laguna,ICI,false,false,false,0.0,202911,202911,NO TEC D
NEG,Laguna,1,0.0,1,Laguna,Laguna,NEG,false,false,false,0.0,202911,202911,TEC A+
IBQ,Laguna,1,0.0,1,Laguna,Laguna,IBQ,false,false,false,0.0,202911,202911,TEC A
ESC,Monterrey,1,1.9090909090909092,1,Monterrey,Monterrey,ESC,false,false,false,1.9090909090909092,202911,202911,TEC A
ESC,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,ESC,false,false,false,0.0,202911,202911,NO TEC A
AMC,Ciudad de México,1,0.09090909090909091,1,Ciudad de México,Ciudad de México,AMC,false,false,false,0.09090909090909091,202911,202911,TEC B
ICT,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,ICT,false,false,false,0.0,202911,202911,NO TEC B
ICI,Ciudad Obregón,1,0.0,1,Ciudad Obregón,Ciudad Obregón,ICI,false,false,false,0.0,202911,202911,NO TEC B
NEG,León,1,0.0,1,León,León,NEG,false,false,false,0.0,202911,202911,TEC C
IBQ,Puebla,1,0.0,1,Puebla,Puebla,IBQ,false,false,false,0.0,202911,202911,TEC C
ICT,Ciudad Obregón,1,0.0,1,Ciudad Obregón,Ciudad Obregón,ICT,false,false,false,0.0,202911,202911,NO TEC D
IBQ,Chihuahua,1,0.0,1,Chihuahua,Chihuahua,IBQ,false,false,false,0.0,202911,202911,NA
CIS,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,CIS,false,false,false,0.0,202911,202911,TEC A+
IIT,Laguna,1,0.0,1,Laguna,Laguna,IIT,false,false,false,0.0,202911,202911,TEC A+
ICI,Monterrey,1,0.36363636363636365,1,Monterrey,Monterrey,ICI,false,false,false,0.36363636363636365,202911,202911,TEC A+
ICT,Puebla,1,0.0,1,Puebla,Puebla,ICT,false,false,false,0.0,202911,202911,TEC A
NEG,Chihuahua,1,0.0,1,Chihuahua,Chihuahua,NEG,false,false,false,0.0,202911,202911,NO TEC A
NEG,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,NEG,false,false,false,0.0,202911,202911,TEC C
IIT,Estado de México,1,0.2727272727272727,1,Estado de México,Estado de México,IIT,false,false,false,0.2727272727272727,202911,202911,NO TEC C
ICT,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,ICT,false,false,false,0.0,202911,202911,NO TEC C
ICI,Estado de México,1,0.0,1,Estado de México,Estado de México,ICI,false,false,false,0.0,202911,202911,NO TEC A
ESC,Monterrey,1,1.9090909090909092,1,Monterrey,Monterrey,ESC,false,false,false,1.9090909090909092,202911,202911,TEC B
ICT,Morelia,1,0.0,1,Morelia,Morelia,ICT,false,false,false,0.0,202911,202911,TEC B
ESC,Toluca,1,0.0,1,Toluca,Toluca,ESC,false,false,false,0.0,202911,202911,TEC B
ICI,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,ICI,false,false,false,0.0,202911,202911,NO TEC B
NEG,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,NEG,false,false,false,0.0,202911,202911,NO TEC C
IBQ,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,IBQ,false,false,false,0.0,202911,202911,NO TEC D
CIS,León,1,0.0,1,León,León,CIS,false,false,false,0.0,202911,202911,NO TEC D
NEG,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,NEG,false,false,false,0.0,202911,202911,NA
ESC,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,ESC,false,false,false,0.0,202911,202911,TEC A+
ESC,León,1,0.0,1,León,León,ESC,false,false,false,0.0,202911,202911,TEC A
ESC,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,ESC,false,false,false,0.0,202911,202911,TEC B
ICI,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,ICI,false,false,false,0.0,202911,202911,NO TEC C
ESC,Guadalajara,1,0.2727272727272727,1,Guadalajara,Guadalajara,ESC,false,false,false,0.2727272727272727,202911,202911,TEC D
ESC,Santa Fe,1,0.45454545454545453,1,Santa Fe,Santa Fe,ESC,false,false,false,0.45454545454545453,202911,202911,TEC D
IIT,Estado de México,1,0.2727272727272727,1,Estado de México,Estado de México,IIT,false,false,false,0.2727272727272727,202911,202911,NO TEC D
ESC,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,ESC,false,false,false,0.0,202911,202911,NA
ESC,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,ESC,false,false,false,0.0,202911,202911,NA
CIS,Estado de México,1,0.18181818181818182,1,Estado de México,Estado de México,CIS,false,false,false,0.18181818181818182,202911,202911,NA
ESC,Querétaro,1,0.45454545454545453,1,Querétaro,Querétaro,ESC,false,false,false,0.45454545454545453,202911,202911,TEC A+
NEG,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,NEG,false,false,false,0.0,202911,202911,TEC A+
ICT,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,ICT,false,false,false,0.0,202911,202911,TEC A
ICT,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,ICT,false,false,false,0.0,202911,202911,TEC D
CIS,Morelia,1,0.0,1,Morelia,Morelia,CIS,false,false,false,0.0,202911,202911,TEC D
ICI,Querétaro,1,0.0,1,Querétaro,Querétaro,ICI,false,false,false,0.0,202911,202911,NO TEC D
NEG,Saltillo,1,0.09090909090909091,1,Saltillo,Saltillo,NEG,false,false,false,0.09090909090909091,202911,202911,NO TEC D
CIS,Chihuahua,1,0.0,1,Chihuahua,Chihuahua,CIS,false,false,false,0.0,202911,202911,NA
ESC,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,ESC,false,false,false,0.0,202911,202911,NA
IIT,Ciudad Obregón,1,0.0,1,Ciudad Obregón,Ciudad Obregón,IIT,false,false,false,0.0,202911,202911,NO TEC A+
IIT,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,IIT,false,false,false,0.0,202911,202911,TEC A
CIS,Santa Fe,1,0.5454545454545454,1,Santa Fe,Santa Fe,CIS,false,false,false,0.5454545454545454,202911,202911,NO TEC A
CIS,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,CIS,false,false,false,0.0,202911,202911,TEC B
NEG,Querétaro,1,0.36363636363636365,1,Querétaro,Querétaro,NEG,false,false,false,0.36363636363636365,202911,202911,TEC B
NEG,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,NEG,false,false,false,0.0,202911,202911,TEC B
IIT,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,IIT,false,false,false,0.0,202911,202911,TEC C
CIS,Toluca,1,0.0,1,Toluca,Toluca,CIS,false,false,false,0.0,202911,202911,TEC D
NEG,Guadalajara,1,0.6363636363636364,1,Guadalajara,Guadalajara,NEG,false,false,false,0.6363636363636364,202911,202911,NO TEC D
CIS,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,CIS,false,false,false,0.0,202911,202911,NA
ICI,Ciudad de México,1,0.36363636363636365,1,Ciudad de México,Ciudad de México,ICI,false,false,false,0.36363636363636365,202911,202911,TEC A+
AMC,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,AMC,false,false,false,0.0,202911,202911,TEC A+
ICT,Ciudad Obregón,1,0.0,1,Ciudad Obregón,Ciudad Obregón,ICT,false,false,false,0.0,202911,202911,TEC A
IIT,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,IIT,false,false,false,0.0,202911,202911,TEC A
IBQ,Guadalajara,1,0.09090909090909091,1,Guadalajara,Guadalajara,IBQ,false,false,false,0.09090909090909091,202911,202911,TEC A
ESC,Estado de México,1,1.0909090909090908,1,Estado de México,Estado de México,ESC,false,false,false,1.0909090909090908,202911,202911,NO TEC A
ICT,Guadalajara,1,0.45454545454545453,1,Guadalajara,Guadalajara,ICT,false,false,false,0.45454545454545453,202911,202911,TEC B
NEG,Puebla,1,0.7272727272727273,1,Puebla,Puebla,NEG,false,false,false,0.7272727272727273,202911,202911,NO TEC B
AMC,Santa Fe,1,0.0,1,Santa Fe,Santa Fe,AMC,false,false,false,0.0,202911,202911,NO TEC B
IIT,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,IIT,false,false,false,0.0,202911,202911,NO TEC C
ICI,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,ICI,false,false,false,0.0,202911,202911,TEC A+
ESC,Laguna,1,0.0,1,Laguna,Laguna,ESC,false,false,false,0.0,202911,202911,TEC A+
ICT,Puebla,1,0.0,1,Puebla,Puebla,ICT,false,false,false,0.0,202911,202911,NO TEC A
NEG,León,1,0.0,1,León,León,NEG,false,false,false,0.0,202911,202911,TEC B
ESC,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,ESC,false,false,false,0.0,202911,202911,NO TEC C
NEG,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,NEG,false,false,false,0.0,202911,202911,NA
ICT,Saltillo,1,0.0,1,Saltillo,Saltillo,ICT,false,false,false,0.0,202911,202911,TEC A+
NEG,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,NEG,false,false,false,0.0,202911,202911,NO TEC A+
ESC,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,ESC,false,false,false,0.0,202911,202911,TEC A
IBQ,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,IBQ,false,false,false,0.0,202911,202911,NO TEC A
ESC,Morelia,1,0.0,1,Morelia,Morelia,ESC,false,false,false,0.0,202911,202911,NO TEC A
IBQ,Morelia,1,0.0,1,Morelia,Morelia,IBQ,false,false,false,0.0,202911,202911,NO TEC A
ICT,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,ICT,false,false,false,0.0,202911,202911,NO TEC C
AMC,Guadalajara,1,0.09090909090909091,1,Guadalajara,Guadalajara,AMC,false,false,false,0.09090909090909091,202911,202911,TEC D
ICI,Estado de México,1,0.0,1,Estado de México,Estado de México,ICI,false,false,false,0.0,202911,202911,NO TEC D
ICT,Estado de México,1,0.18181818181818182,1,Estado de México,Estado de México,ICT,false,false,false,0.18181818181818182,202911,202911,NO TEC A+
ICI,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,ICI,false,false,false,0.0,202911,202911,NO TEC A+
NEG,Saltillo,1,0.09090909090909091,1,Saltillo,Saltillo,NEG,false,false,false,0.09090909090909091,202911,202911,NO TEC A
IIT,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,IIT,false,false,false,0.0,202911,202911,TEC B
AMC,Guadalajara,1,0.09090909090909091,1,Guadalajara,Guadalajara,AMC,false,false,false,0.09090909090909091,202911,202911,NO TEC B
CIS,León,1,0.0,1,León,León,CIS,false,false,false,0.0,202911,202911,TEC D
NEG,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,NEG,false,false,false,0.0,202911,202911,NO TEC A+
NEG,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,NEG,false,false,false,0.0,202911,202911,TEC A
IIT,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,IIT,false,false,false,0.0,202911,202911,NO TEC A
ICI,Puebla,1,0.0,1,Puebla,Puebla,ICI,false,false,false,0.0,202911,202911,NO TEC A
CIS,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,CIS,false,false,false,0.0,202911,202911,NO TEC B
ICI,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,ICI,false,false,false,0.0,202911,202911,NA
CIS,Estado de México,1,0.18181818181818182,1,Estado de México,Estado de México,CIS,false,false,false,0.18181818181818182,202911,202911,TEC A+
SLD,Monterrey,1,0.0,1,Monterrey,Monterrey,SLD,false,false,false,0.0,202911,202911,NO TEC B
ICI,Querétaro,1,0.0,1,Querétaro,Querétaro,ICI,false,false,false,0.0,202911,202911,TEC C
AMC,Estado de México,1,0.0,1,Estado de México,Estado de México,AMC,false,false,false,0.0,202911,202911,TEC D
