TASAXPIN_CALCULO_ORIGINAL,TASA_PROPORCIONAL_CALCULO_ORIGINAL,TASAXPIN_ELIMINAR_OFERTA,TASA_PROPORCIONAL_ELIMINAR_OFERTA,PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,GENERACION,SEMESTRE_AVANCE_GENERACION
0.8850574712643678,0.9506172839506171,0.8850574712643678,0.9506172839506172,CIS,Ciudad de México,202213,4
0.9080459770114943,1.0259740259740258,0.9080459770114945,1.025974025974026,CIS,Ciudad de México,202213,5
0.8965517241379309,0.9873417721518987,0.8965517241379308,0.9873417721518984,CIS,Ciudad de México,202213,6
0.8620689655172412,0.9615384615384615,0.8620689655172413,0.9615384615384617,CIS,Ciudad de México,202213,7
0.896551724137931,1.04,0.8965517241379312,1.04,CIS,Ciudad de México,202213,8
0.8850574712643678,0.9506172839506172,0.8620689655172413,0.9259259259259259,CIS,Ciudad de México,202313,4
0.9080459770114943,1.0259740259740258,0.8850574712643678,1,CIS,Ciudad de México,202313,5
0.8965517241379309,0.9873417721518986,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202313,6
0.8620689655172412,0.9615384615384613,0.8390804597701148,0.9358974358974357,CIS,Ciudad de México,202313,7
0.8965517241379309,1.0400000000000003,0.8735632183908045,1.0133333333333334,CIS,Ciudad de México,202313,8
0.8850574712643677,0.9506172839506172,0.8620689655172413,0.9259259259259259,CIS,Ciudad de México,202413,4
0.9080459770114943,1.025974025974026,0.8850574712643678,1,CIS,Ciudad de México,202413,5
0.8965517241379309,0.9873417721518987,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202413,6
0.8620689655172413,0.9615384615384613,0.8390804597701149,0.9358974358974357,CIS,Ciudad de México,202413,7
0.896551724137931,1.04,0.8735632183908046,1.0133333333333332,CIS,Ciudad de México,202413,8
0.8850574712643678,0.9506172839506171,0.8620689655172414,0.9259259259259258,CIS,Ciudad de México,202513,4
0.9080459770114943,1.0259740259740258,0.8850574712643678,1,CIS,Ciudad de México,202513,5
0.8965517241379309,0.9873417721518987,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202513,6
0.8620689655172412,0.9615384615384615,0.8390804597701148,0.9358974358974359,CIS,Ciudad de México,202513,7
0.896551724137931,1.04,0.8735632183908046,1.0133333333333332,CIS,Ciudad de México,202513,8
0.8850574712643678,0.9506172839506172,0.8620689655172413,0.9259259259259259,CIS,Ciudad de México,202613,4
0.9080459770114943,1.0259740259740258,0.8850574712643678,1,CIS,Ciudad de México,202613,5
0.8965517241379309,0.9873417721518986,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202613,6
0.8620689655172412,0.9615384615384613,0.8390804597701148,0.9358974358974357,CIS,Ciudad de México,202613,7
0.8965517241379309,1.0400000000000003,0.8735632183908045,1.0133333333333334,CIS,Ciudad de México,202613,8
0.8850574712643677,0.9506172839506172,0.8620689655172413,0.9259259259259259,CIS,Ciudad de México,202713,4
0.9080459770114943,1.025974025974026,0.8850574712643678,1,CIS,Ciudad de México,202713,5
0.8965517241379309,0.9873417721518987,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202713,6
0.8620689655172413,0.9615384615384613,0.8390804597701149,0.9358974358974357,CIS,Ciudad de México,202713,7
0.896551724137931,1.04,0.8735632183908046,1.0133333333333332,CIS,Ciudad de México,202713,8
0.8850574712643678,0.9506172839506171,0.8620689655172414,0.9259259259259258,CIS,Ciudad de México,202813,4
0.9080459770114943,1.0259740259740258,0.8850574712643678,1,CIS,Ciudad de México,202813,5
0.8965517241379309,0.9873417721518987,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202813,6
0.8620689655172412,0.9615384615384615,0.8390804597701148,0.9358974358974359,CIS,Ciudad de México,202813,7
0.896551724137931,1.04,0.8735632183908046,1.0133333333333332,CIS,Ciudad de México,202813,8
0.8850574712643678,0.9506172839506172,0.8620689655172413,0.9259259259259259,CIS,Ciudad de México,202913,4
0.9080459770114943,1.0259740259740258,0.8850574712643678,1,CIS,Ciudad de México,202913,5
0.8965517241379309,0.9873417721518986,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,202913,6
0.8620689655172412,0.9615384615384613,0.8390804597701148,0.9358974358974357,CIS,Ciudad de México,202913,7
0.8965517241379309,1.0400000000000003,0.8735632183908045,1.0133333333333334,CIS,Ciudad de México,202913,8
0.8850574712643677,0.9506172839506172,0.8620689655172413,0.9259259259259259,CIS,Ciudad de México,203013,4
0.9080459770114943,1.025974025974026,0.8850574712643678,1,CIS,Ciudad de México,203013,5
0.8965517241379309,0.9873417721518987,0.8735632183908045,0.9620253164556961,CIS,Ciudad de México,203013,6
0.8620689655172413,0.9615384615384613,0.8390804597701149,0.9358974358974357,CIS,Ciudad de México,203013,7
0.896551724137931,1.04,0.8735632183908046,1.0133333333333332,CIS,Ciudad de México,203013,8
0.9047619047619047,0.9827586206896552,0.9047619047619049,0.982758620689655,CIS,Estado de México,202213,4
0.857142857142857,0.9473684210526316,0.8571428571428572,0.9473684210526316,CIS,Estado de México,202213,5
0.8253968253968251,0.9629629629629628,0.8253968253968256,0.962962962962963,CIS,Estado de México,202213,6
0.8412698412698412,1.0192307692307692,0.8412698412698414,1.0192307692307694,CIS,Estado de México,202213,7
0.8253968253968251,0.9811320754716981,0.8253968253968254,0.9811320754716982,CIS,Estado de México,202213,8
0.9047619047619047,0.9827586206896551,0.8888888888888888,0.9655172413793103,CIS,Estado de México,202313,4
0.8571428571428572,0.9473684210526314,0.8412698412698412,0.9298245614035088,CIS,Estado de México,202313,5
