TASAXPIN_CALCULO_ORIGINAL,TASA_PROPORCIONAL_CALCULO_ORIGINAL,TASAXPIN_ELIMINAR_OFERTA,TASA_PROPORCIONAL_ELIMINAR_OFERTA,PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,GENERACION,SEMESTRE_AVANCE_GENERACION
1.0,1.0,1.0,1.0,AMC,Estado de México,201913,1
1.0,1.0,1.0,1.0,AMC,Estado de México,201913,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,201913,3
0.9672131147540984,0.9833333333333334,0.9672131147540984,0.9833333333333334,AMC,Estado de México,201913,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,201913,5
0.9836065573770494,1.0169491525423728,0.9836065573770494,1.0169491525423728,AMC,Estado de México,201913,6
0.9672131147540985,0.9833333333333336,0.9672131147540985,0.9833333333333336,AMC,Estado de México,201913,7
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,201913,8
0.16393442622950816,0.16666666666666666,0.16393442622950816,0.16666666666666666,AMC,Estado de México,201913,9
0.1327868875910024,0.8100000143051148,0.1327868875910024,0.8100000143051148,AMC,Estado de México,201913,10
0.03737704919987038,0.2814814766575117,0.03737704919987038,0.2814814766575117,AMC,Estado de México,201913,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,201913,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202011,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202011,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202011,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202011,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202011,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202011,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202011,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202011,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202011,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202011,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202011,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202011,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202011,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202013,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202013,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202013,3
0.9672131147540984,0.9833333333333334,0.9672131147540984,0.9833333333333334,AMC,Estado de México,202013,4
0.9672131147540984,1.0,0.9672131147540984,1.0,AMC,Estado de México,202013,5
0.9836065573770493,1.0169491525423728,0.9836065573770493,1.0169491525423728,AMC,Estado de México,202013,6
0.9672131147540983,0.9833333333333335,0.9672131147540983,0.9833333333333335,AMC,Estado de México,202013,7
0.9836065573770494,1.0169491525423728,0.9836065573770494,1.0169491525423728,AMC,Estado de México,202013,8
0.16393442622950816,0.16666666666666666,0.16393442622950816,0.16666666666666666,AMC,Estado de México,202013,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202013,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202013,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202013,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202111,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202111,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202111,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202111,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202111,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202111,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202111,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202111,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202111,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202111,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202111,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202111,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202111,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202113,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202113,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202113,3
0.9672131147540985,0.9833333333333335,0.9672131147540985,0.9833333333333335,AMC,Estado de México,202113,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,202113,5
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,202113,6
0.9672131147540985,0.9833333333333333,0.9672131147540985,0.9833333333333333,AMC,Estado de México,202113,7
0.9836065573770492,1.0169491525423728,0.9836065573770492,1.0169491525423728,AMC,Estado de México,202113,8
0.16393442622950818,0.16666666666666666,0.16393442622950818,0.16666666666666666,AMC,Estado de México,202113,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202113,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202113,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202113,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202211,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202211,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202211,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202211,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202211,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202211,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202211,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202211,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202211,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202211,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202211,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202211,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202211,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202213,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202213,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202213,3
0.9672131147540985,0.9833333333333335,0.9672131147540985,0.9833333333333335,AMC,Estado de México,202213,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,202213,5
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,202213,6
0.9672131147540985,0.9833333333333333,0.9672131147540985,0.9833333333333333,AMC,Estado de México,202213,7
0.9836065573770492,1.0169491525423728,0.9836065573770492,1.0169491525423728,AMC,Estado de México,202213,8
0.16393442622950818,0.16666666666666666,0.16393442622950818,0.16666666666666666,AMC,Estado de México,202213,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202213,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202213,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202213,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202311,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202311,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202311,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202311,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202311,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202311,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202311,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202311,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202311,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202311,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202311,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202311,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202311,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202313,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202313,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202313,3
0.9672131147540984,0.9833333333333334,0.9672131147540984,0.9833333333333334,AMC,Estado de México,202313,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,202313,5
0.9836065573770494,1.0169491525423728,0.9836065573770494,1.0169491525423728,AMC,Estado de México,202313,6
0.9672131147540985,0.9833333333333336,0.9672131147540985,0.9833333333333336,AMC,Estado de México,202313,7
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,202313,8
0.16393442622950816,0.16666666666666666,0.16393442622950816,0.16666666666666666,AMC,Estado de México,202313,9
0.1327868875910024,0.8100000143051148,0.1327868875910024,0.8100000143051148,AMC,Estado de México,202313,10
0.03737704919987038,0.2814814766575117,0.03737704919987038,0.2814814766575117,AMC,Estado de México,202313,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202313,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202411,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202411,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202411,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202411,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202411,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202411,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202411,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202411,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202411,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202411,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202411,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202411,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202411,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202413,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202413,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202413,3
0.9672131147540984,0.9833333333333334,0.9672131147540984,0.9833333333333334,AMC,Estado de México,202413,4
0.9672131147540984,1.0,0.9672131147540984,1.0,AMC,Estado de México,202413,5
0.9836065573770493,1.0169491525423728,0.9836065573770493,1.0169491525423728,AMC,Estado de México,202413,6
0.9672131147540983,0.9833333333333335,0.9672131147540983,0.9833333333333335,AMC,Estado de México,202413,7
0.9836065573770494,1.0169491525423728,0.9836065573770494,1.0169491525423728,AMC,Estado de México,202413,8
0.16393442622950816,0.16666666666666666,0.16393442622950816,0.16666666666666666,AMC,Estado de México,202413,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202413,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202413,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202413,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202511,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202511,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202511,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202511,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202511,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202511,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202511,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202511,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202511,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202511,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202511,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202511,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202511,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202513,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202513,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202513,3
0.9672131147540985,0.9833333333333335,0.9672131147540985,0.9833333333333335,AMC,Estado de México,202513,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,202513,5
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,202513,6
0.9672131147540985,0.9833333333333333,0.9672131147540985,0.9833333333333333,AMC,Estado de México,202513,7
0.9836065573770492,1.0169491525423728,0.9836065573770492,1.0169491525423728,AMC,Estado de México,202513,8
0.16393442622950818,0.16666666666666666,0.16393442622950818,0.16666666666666666,AMC,Estado de México,202513,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202513,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202513,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202513,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202611,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202611,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202611,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202611,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202611,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202611,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202611,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202611,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202611,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202611,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202611,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202611,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202611,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202613,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202613,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202613,3
0.9672131147540984,0.9833333333333334,0.9672131147540984,0.9833333333333334,AMC,Estado de México,202613,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,202613,5
0.9836065573770494,1.0169491525423728,0.9836065573770494,1.0169491525423728,AMC,Estado de México,202613,6
0.9672131147540985,0.9833333333333336,0.9672131147540985,0.9833333333333336,AMC,Estado de México,202613,7
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,202613,8
0.16393442622950816,0.16666666666666666,0.16393442622950816,0.16666666666666666,AMC,Estado de México,202613,9
0.1327868875910024,0.8100000143051148,0.1327868875910024,0.8100000143051148,AMC,Estado de México,202613,10
0.03737704919987038,0.2814814766575117,0.03737704919987038,0.2814814766575117,AMC,Estado de México,202613,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202613,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202711,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202711,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202711,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202711,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202711,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202711,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202711,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202711,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202711,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202711,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202711,11
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202711,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202711,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202713,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202713,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202713,3
0.9672131147540984,0.9833333333333334,0.9672131147540984,0.9833333333333334,AMC,Estado de México,202713,4
0.9672131147540984,1.0,0.9672131147540984,1.0,AMC,Estado de México,202713,5
0.9836065573770493,1.0169491525423728,0.9836065573770493,1.0169491525423728,AMC,Estado de México,202713,6
0.9672131147540983,0.9833333333333335,0.9672131147540983,0.9833333333333335,AMC,Estado de México,202713,7
0.9836065573770494,1.0169491525423728,0.9836065573770494,1.0169491525423728,AMC,Estado de México,202713,8
0.16393442622950816,0.16666666666666666,0.16393442622950816,0.16666666666666666,AMC,Estado de México,202713,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202713,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202713,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202713,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202811,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202811,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202811,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202811,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202811,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202811,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202811,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202811,8
0.8,1.0,0.8,1.0,AMC,Estado de México,202811,9
0.4,0.5,0.4,0.5,AMC,Estado de México,202811,10
0.27999999523162844,0.699999988079071,0.27999999523162844,0.699999988079071,AMC,Estado de México,202811,11
