GENERACION,CAMPUS,PROGRAMA
202113,Aguascalientes,LEM
202113,León,LDE
202113,Guadalajara,LDO
202113,Guadalajara,IE
202113,León,LDI
202113,Laguna,LDI
202113,Aguascalientes,ITD
202213,San Luis Potosí,LEM
202213,Cuernavaca,LIN
202213,Estado de México,LDE
202213,Toluca,LDE
202213,Sonora Norte,LDE
202213,Santa Fe,LDO
202213,Ciudad de México,IID
202213,Estado de México,IID
202213,Santa Fe,LPE
202213,Aguascalientes,ITD
202213,Santa Fe,IRS
202213,Aguascalientes,IRS
202213,Santa Fe,LTP
202213,Sinaloa,IC
202213,Hidalgo,IC
202213,Cuernavaca,IC
